type,dataset,ortho_files,shapes_file,channels,centroid_x,centroid_y,threshold,pixels,gid,pixels_after_threshold,altezza_mean,altezza_median,altezza_std,altezza_max,altezza_min,summation
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570304.7397260538,4974986.0156296585,,42439,14,42439,125.800207356441,125.7997589111328,0.0118143324436914,125.85277,125.760445,5338835.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570303.5919740696,4974983.317336033,,42582,35,42582,125.8367972382697,125.836669921875,0.0124845864567182,125.90215,125.794586,5358382.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570302.4404574491,4974980.623441905,,42561,38,42561,125.86391297196964,125.86221313476562,0.0173397863462329,125.93524,125.818726,5356894.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570301.2927097713,4974977.925146256,,42464,59,42464,125.86874764506403,125.86709594726562,0.0142290948877881,125.93552,125.83101,5344890.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570300.1461279482,4974975.232997043,,42448,62,42448,125.89544854881268,125.89356994628906,0.0136811692918593,125.98192,125.85952,5344010.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570298.9998526411,4974972.533874187,,42465,83,42465,125.90488637701635,125.9040298461914,0.0102681175846933,125.94848,125.876755,5346551.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570297.8493174787,4974969.841679775,,42760,86,42760,125.90881665107575,125.90868377685548,0.0107026121116739,125.94472,125.87828,5383861.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570296.6990996628,4974967.142516376,,42464,107,42464,125.93263705727205,125.9322280883789,0.0132091697150125,125.98549,125.89959,5347603.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570295.5525138462,4974964.450368076,,42435,110,42435,125.93901260751738,125.93733978271484,0.0139941470890823,126.01106,125.90123,5344222.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570294.4062345411,4974961.751246128,,42462,131,42462,125.94130045687908,125.93985748291016,0.0119647136076499,126.01963,125.90623,5347719.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570293.2581616675,4974959.05991754,,42547,134,42547,125.94328624814912,125.94034576416016,0.0167137863145078,126.0277,125.90827,5358509.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570292.1069542391,4974956.359060003,,42575,155,42575,125.96448620082208,125.96354675292967,0.0114736576456877,126.016815,125.93248,5362938.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570290.9588837477,4974953.667742755,,42445,158,42445,125.9694428083402,125.9665985107422,0.0161791129887722,126.06557,125.93187,5346773.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570289.8126004445,4974950.968621717,,42467,179,42467,125.97901900299055,125.977783203125,0.0152402023344482,126.04087,125.939285,5349951.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570288.666008639,4974948.27647478,,42441,182,42441,126.01281779411418,126.00811767578124,0.0198886062269593,126.11226,125.959595,5348110.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570287.5157773979,4974945.57731088,,42777,203,42777,126.03081094980948,126.02775573730467,0.0186898243490449,126.13382,125.98232,5391220.0
